"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"['edward', 'dunbar']","['ronald', 'helpful', 'paitent']","['excellent']","['three', 'november', 'twothousandtwentyfour']","['ronald', 'helpful', 'patient', 'pleasure', 'book']"
"['samir', 'khan']","['booked', 'holiday', 'crystal', 'travel']","['excellent']","['twentysix', 'october', 'twothousandtwentyfour']","['booked', 'holiday', 'crystal', 'travel', 'whole', 'process', 'handled', 'professionally', 'claireshe', 'listen', 'request', 'delivered', 'accordingly']"
"['m', 'saleem']","['oscar', 'helpful']","['excellent']","['three', 'november', 'twothousandtwentyfour']","['oscar', 'helpful', 'understood', 'urgency', 'gave', 'us', 'excellent', 'service', 'resolved', 'problem']"
"['stephen', 'denny']","['really', 'helpful', 'service', 'searched', 'best']","['excellent']","['two', 'november', 'twothousandtwentyfour']","['really', 'helpful', 'service', 'searched', 'best', 'deal']"
"['mercedes', 'allsop']","['stella', 'stevens', 'helpful', 'paying', 'balance', 'plane', 'ticket']","['excellent']","['three', 'november', 'twothousandtwentyfour']","['stella', 'stevens', 'helpful', 'helping', 'payment', 'plane', 'ticket', 'offering', 'book', 'seats']"
"['n', 'givane']","['talking', 'james', 'smith']","['good']","['three', 'november', 'twothousandtwentyfour']","['talking', 'james', 'smith', 'november', 'looking', 'book', 'flight', 'dubai', 'london', 'james', 'helpful', 'trying', 'get', 'right', 'ticket', 'within', 'budget', 'met', 'expectations', 'well', 'overi', 'wonderful', 'experience', 'company', 'especially', 'dealing', 'james', 'smith', 'helpful', 'big', 'shout', 'well', 'donei', 'used', 'company', 'numerous', 'occasions', 'future', 'carry', 'good', 'work']"
"['kewal', 'sohal']","['lovely', 'staff', 'great', 'talking']","['excellent']","['thirteen', 'october', 'twothousandtwentyfour']","['lovely', 'staff', 'great', 'talking', 'helpful', 'jose', 'lovely', 'gentleman', 'speak', 'gave', 'us', 'good', 'deal', 'holiday', 'thanks']"
"['ruby', 'antonio']","['im', 'satisfied', 'assistance']","['excellent']","['three', 'november', 'twothousandtwentyfour']","['im', 'satisfied', 'assistance', 'stella', 'stevens', 'regarding', 'flight', 'seat', 'request']"
"['dr', 'tahir', 'hussain']","['first', 'time', 'booked', 'tickets']","['excellent']","['six', 'october', 'twothousandtwentyfour']","['first', 'time', 'booked', 'tickets', 'crystal', 'travel', 'hesitation', 'due', 'past', 'bad', 'experience', 'surprisingly', 'found', 'jose', 'wilson', 'travel', 'agent', 'polite', 'helpful', 'true', 'professional', 'provided', 'excellent', 'service', 'definitely', 'recommend', 'everyone', 'deal', 'agency', 'especially', 'jose', 'wilson']"
"['customer']","['freya', 'quick', 'helpful', 'solve']","['good']","['two', 'november', 'twothousandtwentyfour']","['freya', 'quick', 'helpful', 'solve', 'query']"
"['bryna']","['booked', 'travel', 'quick']","['good']","['two', 'november', 'twothousandtwentyfour']","['booked', 'travel', 'quick', 'expensive', 'can', 'thanks', 'shirley']"
"['customer']","['aron', 'run', 'extra', 'mile', 'staying', 'late']","['excellent']","['two', 'november', 'twothousandtwentyfour']","['aron', 'run', 'extra', 'mile', 'staying', 'late', 'book', 'flight', 'many', 'thanks']"
"['syed', 'naqi', 'abbas', 'zaidi']","['ana', 'helpful', 'whole']","['excellent']","['two', 'november', 'twothousandtwentyfour']","['ana', 'helpful', 'whole', 'long', 'stressful', 'booking', 'busy', 'christmas', 'timeso', 'grateful']"
